fecha,hora,portafolio,token,symbol,precio,1h,24h,7d,tendencia_7d,market_cap,volumen_usd,tokens_movidos,suministro_circulante
11/05/2025,22:58:29,Principales Tokens Exnetwork Capital Portfolio por Capitalización de Mercado,Polkadot,DOT,"5,13 US$",0.69,-0.58,28.98,positivo,"$8,099,355,545","$267,722,087",52.10M DOT,1.57B DOT
11/05/2025,22:58:29,Principales Tokens Exnetwork Capital Portfolio por Capitalización de Mercado,Internet Computer,ICP,"5,78 US$",-0.13,-2.43,25.5,positivo,"$3,084,681,241","$97,818,642",16.89M ICP,532.8M ICP
11/05/2025,22:58:29,Principales Tokens Exnetwork Capital Portfolio por Capitalización de Mercado,Cosmos,ATOM,"5,32 US$",-0.09,-0.37,28.04,positivo,"$2,080,977,115","$117,742,582",22.11M ATOM,390.93M ATOM
11/05/2025,22:58:29,Principales Tokens Exnetwork Capital Portfolio por Capitalización de Mercado,Algorand,ALGO,"0,2416 US$",-0.06,-4.02,19.7,positivo,"$2,077,641,492","$96,472,762",399.27M ALGO,8.59B ALGO
11/05/2025,22:58:29,Principales Tokens Exnetwork Capital Portfolio por Capitalización de Mercado,THORChain,RUNE,"1,78 US$",0.84,1.1,42.31,positivo,"$628,614,599","$214,510,329",119.96M RUNE,351.53M RUNE
11/05/2025,22:58:30,Principales Tokens Exnetwork Capital Portfolio por Capitalización de Mercado,MultiversX,EGLD,"19,65 US$",0.79,-1.89,24.06,positivo,"$554,647,661","$26,305,801",1.33M EGLD,28.21M EGLD
11/05/2025,22:58:30,Principales Tokens Exnetwork Capital Portfolio por Capitalización de Mercado,SuperVerse,SUPER,"0,8549 US$",-0.07,-4.33,24.98,positivo,"$498,076,600","$17,734,372",20.74M SUPER,582.57M SUPER
11/05/2025,22:58:30,Principales Tokens Exnetwork Capital Portfolio por Capitalización de Mercado,MANTRA,OM,"0,4313 US$",0.89,-4.0,7.45,positivo,"$417,183,287","$198,477,372",460.12M OM,967.14M OM
11/05/2025,22:58:30,Principales Tokens Exnetwork Capital Portfolio por Capitalización de Mercado,FTX Token,FTT,"1,15 US$",-0.32,-2.89,9.19,positivo,"$379,885,070","$14,543,300",12.59M FTT,328.89M FTT
11/05/2025,22:58:30,Principales Tokens Exnetwork Capital Portfolio por Capitalización de Mercado,Frax (prev. FXS),FRAX,"2,71 US$",-0.1,-0.5,16.91,positivo,"$244,593,777","$14,194,797",5.23M FRAX,89.98M FRAX
