fecha_hora,portafolio,market_cap,market_cap_change,market_cap_trend,volume,volume_change,volume_trend,tokens_totales,1h_ganadores,1h_perdedores,1h_neutros,24h_ganadores,24h_perdedores,24h_neutros,7d_ganadores,7d_perdedores,7d_neutros
11/05/2025 22:46:09,Principales Tokens Exnetwork Capital Portfolio por Capitalización de Mercado,"$18,781,539,497",-1.26,pérdida,"$1,176,231,717",-36.59,pérdida,10,4,6,0,1,9,0,10,0,0
11/05/2025 22:46:13,Principales Tokens CMS Holdings Portfolio por Capitalización de Mercado,"$2,479,009,434,323",-0.26,pérdida,"$76,144,516,228",-9.86,pérdida,10,6,4,0,2,8,0,10,0,0
11/05/2025 22:46:16,Principales Tokens Galaxy Digital Portfolio por Capitalización de Mercado,"$2,212,256,596,826",-0.1,pérdida,"$50,947,552,444",2.16,ganancia,10,4,6,0,4,6,0,9,1,0
11/05/2025 22:46:21,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,"$95,574,374,844",-1.06,pérdida,"$4,978,823,961",-20.13,pérdida,10,2,8,0,1,9,0,10,0,0
11/05/2025 22:46:24,Principales Tokens Framework Ventures Portfolio por Capitalización de Mercado,"$2,385,701,068,042",-0.23,pérdida,"$72,815,664,266",-8.48,pérdida,10,5,5,0,3,7,0,10,0,0
11/05/2025 22:46:28,Principales Tokens Alameda Research Portfolio por Capitalización de Mercado,"$2,576,226,911,566",-0.31,pérdida,"$77,879,615,678",-10.01,pérdida,10,5,5,0,1,9,0,9,1,0
11/05/2025 22:46:31,Principales Tokens Kenetic Capital Portfolio por Capitalización de Mercado,"$421,023,834,091",-1.19,pérdida,"$29,535,282,630",-26.99,pérdida,10,4,6,0,1,9,0,9,1,0
11/05/2025 22:46:35,Principales Tokens Hashkey Capital Portfolio por Capitalización de Mercado,"$334,888,346,648",-1.2,pérdida,"$27,096,538,649",-26.23,pérdida,10,2,8,0,1,9,0,10,0,0
11/05/2025 22:46:39,Principales Tokens PetRock Capital Portfolio por Capitalización de Mercado,"$1,033,606,811",-0.89,pérdida,"$98,360,211",-21.84,pérdida,10,5,4,1,4,5,1,7,2,1
11/05/2025 22:46:43,Principales Tokens YZi Labs Portfolio por Capitalización de Mercado,"$2,401,881,526,187",-0.14,pérdida,"$74,834,630,565",-12.59,pérdida,10,4,6,0,2,7,1,9,1,0
11/05/2025 22:46:47,Principales Tokens LedgerPrime Portfolio por Capitalización de Mercado,"$1,918,143,958",-1.48,pérdida,"$88,820,419",-28.85,pérdida,10,4,4,2,5,5,0,7,3,0
11/05/2025 22:46:51,Principales Tokens Pantera Capital Portfolio por Capitalización de Mercado,"$2,535,603,289,789",-0.26,pérdida,"$77,353,967,016",-10.13,pérdida,10,7,3,0,1,9,0,10,0,0
11/05/2025 22:46:55,Principales Tokens 1Confirmation Portfolio por Capitalización de Mercado,"$2,379,770,021,771",-0.23,pérdida,"$72,030,798,336",-8.46,pérdida,10,6,4,0,1,9,0,10,0,0
11/05/2025 22:46:58,Principales Tokens Polygon Ventures Portfolio por Capitalización de Mercado,"$78,244,069",-0.18,pérdida,"$18,008,856",-14.3,pérdida,6,2,4,0,2,4,0,6,0,0
11/05/2025 22:47:01,Principales Tokens DeFiance Capital Portfolio por Capitalización de Mercado,"$8,947,376,129",-3.51,pérdida,"$725,260,213",-33.18,pérdida,10,9,1,0,2,8,0,7,3,0
11/05/2025 22:47:05,Principales Tokens Polychain Capital Portfolio por Capitalización de Mercado,"$2,409,634,791,268",-0.22,pérdida,"$74,515,888,214",-9.39,pérdida,10,6,4,0,2,8,0,10,0,0
11/05/2025 22:47:09,Principales Tokens Animoca Brands Portfolio por Capitalización de Mercado,"$5,729,311,468",-0.59,pérdida,"$1,472,535,251",-14.6,pérdida,10,7,3,0,2,8,0,10,0,0
11/05/2025 22:47:13,Principales Tokens Fenbushi Capital Portfolio por Capitalización de Mercado,"$16,862,331,108",-0.84,pérdida,"$751,370,105",-38.08,pérdida,10,3,7,0,2,8,0,10,0,0
11/05/2025 22:47:19,Principales Tokens DWF Labs Portfolio por Capitalización de Mercado,"$59,903,858,757",-0.61,pérdida,"$4,684,360,262",-14.28,pérdida,10,6,4,0,4,6,0,9,1,0
11/05/2025 22:47:23,Principales Tokens eGirl Capital Portfolio por Capitalización de Mercado,"$6,507,915,361",-4.65,pérdida,"$796,755,777",-40.9,pérdida,10,5,5,0,1,9,0,10,0,0
11/05/2025 22:47:27,Principales Tokens Coinbase Ventures Portfolio por Capitalización de Mercado,"$2,459,725,417,452",-0.14,pérdida,"$81,863,660,500",-14.32,pérdida,10,5,5,0,0,10,0,9,1,0
11/05/2025 22:47:32,Principales Tokens Electric Capital Portfolio por Capitalización de Mercado,"$2,397,401,360,047",-0.23,pérdida,"$73,732,902,658",-9.24,pérdida,10,4,6,0,3,7,0,10,0,0
11/05/2025 22:47:36,Principales Tokens DragonFly Capital Portfolio por Capitalización de Mercado,"$2,388,642,660,803",-0.23,pérdida,"$72,795,705,363",-9.09,pérdida,10,3,7,0,0,9,1,9,1,0
11/05/2025 22:47:40,Principales Tokens Three Arrows Capital Portfolio por Capitalización de Mercado,"$2,400,525,036,433",-0.25,pérdida,"$73,487,146,076",-8.96,pérdida,10,7,3,0,0,10,0,10,0,0
11/05/2025 22:47:44,Principales Tokens Standard Crypto Portfolio por Capitalización de Mercado,"$7,050,412,295",-1.92,pérdida,"$545,536,535",-28.99,pérdida,10,5,5,0,1,9,0,10,0,0
11/05/2025 22:47:48,Principales Tokens Multicoin Capital Portfolio por Capitalización de Mercado,"$2,567,613,265,349",-0.2,pérdida,"$76,487,505,168",-11.07,pérdida,10,3,7,0,0,10,0,10,0,0
11/05/2025 22:47:52,Principales Tokens Coinfund Portfolio por Capitalización de Mercado,"$14,645,807,067",-2.05,pérdida,"$705,263,388",-32.34,pérdida,10,8,2,0,1,9,0,10,0,0
11/05/2025 22:47:55,Principales Tokens Winklevoss Capital Portfolio por Capitalización de Mercado,"$2,371,022,581,203",-0.23,pérdida,"$71,788,643,308",-8.28,pérdida,6,2,4,0,1,5,0,6,0,0
11/05/2025 22:47:59,Principales Tokens Huobi Capital Portfolio por Capitalización de Mercado,"$2,371,648,973,700",-0.23,pérdida,"$71,811,583,101",-8.34,pérdida,10,3,7,0,0,10,0,10,0,0
11/05/2025 22:48:03,Principales Tokens VBC Ventures Portfolio por Capitalización de Mercado,"$648,772,405",-1.65,pérdida,"$51,659,728",-30.49,pérdida,10,3,6,1,2,8,0,10,0,0
11/05/2025 22:48:07,Principales Tokens Paradigm Portfolio por Capitalización de Mercado,"$2,378,321,374,766",-0.24,pérdida,"$72,384,305,922",-8.47,pérdida,10,4,6,0,1,9,0,10,0,0
11/05/2025 22:48:12,Principales Tokens Blockchain Capital Portfolio por Capitalización de Mercado,"$2,394,314,253,274",-0.13,pérdida,"$71,977,028,959",-10.22,pérdida,10,5,5,0,0,10,0,10,0,0
11/05/2025 22:48:15,Principales Tokens World Liberty Financial Portfolio por Capitalización de Mercado,"$614,928,299,140",-0.54,pérdida,"$122,235,592,487",-17.76,pérdida,10,5,5,0,3,6,1,8,2,0
11/05/2025 22:48:18,Principales Tokens Placeholder Ventures Portfolio por Capitalización de Mercado,"$2,378,516,447,064",-0.23,pérdida,"$72,059,762,786",-8.4,pérdida,10,5,5,0,1,9,0,10,0,0
11/05/2025 22:48:22,Principales Tokens a16z Portfolio por Capitalización de Mercado,"$2,536,766,969,804",-0.26,pérdida,"$77,929,896,318",-10.26,pérdida,10,4,5,1,1,9,0,10,0,0
11/05/2025 22:48:25,Principales Tokens Arrington XRP Capital Portfolio por Capitalización de Mercado,"$160,570,520,648",-0.76,pérdida,"$4,857,308,559",-24.63,pérdida,21,13,8,0,3,18,0,20,1,0
11/05/2025 22:48:28,Principales Tokens BoostVC Portfolio por Capitalización de Mercado,"$2,386,264,987,795",-0.22,pérdida,"$72,266,600,968",-8.41,pérdida,16,10,4,2,3,13,0,14,2,0
11/05/2025 22:48:30,Principales Tokens Fabric Ventures Portfolio por Capitalización de Mercado,"$2,383,568,410,876",-0.24,pérdida,"$72,320,829,804",-8.57,pérdida,19,10,7,2,1,17,1,17,1,1
11/05/2025 22:48:33,Principales Tokens Poolz Finance Portfolio por Capitalización de Mercado,"$26,647,397",-4.02,pérdida,"$1,799,152",-2.15,pérdida,24,3,13,8,7,9,8,13,3,8
11/05/2025 22:48:37,Principales Tokens DCG Portfolio por Capitalización de Mercado,"$2,391,710,201,019",-0.24,pérdida,"$72,688,186,480",-8.5,pérdida,21,12,8,1,2,18,1,21,0,0
11/05/2025 22:48:38,Principales Tokens USV Portfolio por Capitalización de Mercado,"$2,371,612,592,014",-0.23,pérdida,"$71,701,727,427",-8.3,pérdida,6,2,4,0,0,6,0,6,0,0
11/05/2025 22:48:40,Principales Tokens Circle Ventures Portfolio por Capitalización de Mercado,"$7,913,207,079",-5.1,pérdida,"$535,707,409",-28.16,pérdida,13,5,3,5,3,6,4,10,0,3
